COUNTRY,INDICATOR,FXR_CURRENCY,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE
G001,AFXRA,CI_USD,SHRO_PT,Q,2000-Q1,70.7965528604486
G001,AFXRA,CI_USD,SHRO_PT,Q,2000-Q2,70.6756743292132
G001,AFXRA,CI_USD,SHRO_PT,Q,2000-Q3,70.643182802407
G001,AFXRA,CI_USD,SHRO_PT,Q,2000-Q4,69.7403271390709
G001,AFXRA,CI_USD,SHRO_PT,Q,2001-Q1,70.6500810298208
G001,AFXRA,CI_USD,SHRO_PT,Q,2001-Q2,71.4003108062864
G001,AFXRA,CI_USD,SHRO_PT,Q,2001-Q3,70.7633611218991
G001,AFXRA,CI_USD,SHRO_PT,Q,2001-Q4,70.7836648539658
G001,AFXRA,CI_USD,SHRO_PT,Q,2002-Q1,70.5138003119722
G001,AFXRA,CI_USD,SHRO_PT,Q,2002-Q2,67.8056192218856
G001,AFXRA,CI_USD,SHRO_PT,Q,2002-Q3,66.6936532882457
G001,AFXRA,CI_USD,SHRO_PT,Q,2002-Q4,64.9391869591015
G001,AFXRA,CI_USD,SHRO_PT,Q,2003-Q1,64.6161570687263
G001,AFXRA,CI_USD,SHRO_PT,Q,2003-Q2,64.6518884544982
G001,AFXRA,CI_USD,SHRO_PT,Q,2003-Q3,64.9081937339743
G001,AFXRA,CI_USD,SHRO_PT,Q,2003-Q4,63.534917057239
G001,AFXRA,CI_USD,SHRO_PT,Q,2004-Q1,64.6672276348416
G001,AFXRA,CI_USD,SHRO_PT,Q,2004-Q2,64.8549468240236
G001,AFXRA,CI_USD,SHRO_PT,Q,2004-Q3,64.4403466010848
G001,AFXRA,CI_USD,SHRO_PT,Q,2004-Q4,63.3229146034879
G001,AFXRA,CI_USD,SHRO_PT,Q,2005-Q1,64.2052408299401
G001,AFXRA,CI_USD,SHRO_PT,Q,2005-Q2,64.682879009746
G001,AFXRA,CI_USD,SHRO_PT,Q,2005-Q3,65.0115199088046
G001,AFXRA,CI_USD,SHRO_PT,Q,2005-Q4,64.888024245941
G001,AFXRA,CI_USD,SHRO_PT,Q,2006-Q1,64.8836357935906
G001,AFXRA,CI_USD,SHRO_PT,Q,2006-Q2,64.1111257285317
G001,AFXRA,CI_USD,SHRO_PT,Q,2006-Q3,64.5901865327659
G001,AFXRA,CI_USD,SHRO_PT,Q,2006-Q4,63.6672618202723
G001,AFXRA,CI_USD,SHRO_PT,Q,2007-Q1,63.6562290349214
G001,AFXRA,CI_USD,SHRO_PT,Q,2007-Q2,63.3986338150179
G001,AFXRA,CI_USD,SHRO_PT,Q,2007-Q3,62.7131094022578
