COUNTRY,INDICATOR,FXR_CURRENCY,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE
G001,AFXRA,CI_JPY,SHRO_PT,Q,2000-Q1,6.0029110889405
G001,AFXRA,CI_JPY,SHRO_PT,Q,2000-Q2,6.82175009453778
G001,AFXRA,CI_JPY,SHRO_PT,Q,2000-Q3,7.05327295071261
G001,AFXRA,CI_JPY,SHRO_PT,Q,2000-Q4,6.56175315722423
G001,AFXRA,CI_JPY,SHRO_PT,Q,2001-Q1,5.94147496357515
G001,AFXRA,CI_JPY,SHRO_PT,Q,2001-Q2,5.79673624889796
G001,AFXRA,CI_JPY,SHRO_PT,Q,2001-Q3,5.72330188514773
G001,AFXRA,CI_JPY,SHRO_PT,Q,2001-Q4,5.39521468267518
G001,AFXRA,CI_JPY,SHRO_PT,Q,2002-Q1,4.69090120558893
G001,AFXRA,CI_JPY,SHRO_PT,Q,2002-Q2,6.21221818704142
G001,AFXRA,CI_JPY,SHRO_PT,Q,2002-Q3,5.779089914227
G001,AFXRA,CI_JPY,SHRO_PT,Q,2002-Q4,5.60352576564664
G001,AFXRA,CI_JPY,SHRO_PT,Q,2003-Q1,6.08921334824294
G001,AFXRA,CI_JPY,SHRO_PT,Q,2003-Q2,5.51034698106732
G001,AFXRA,CI_JPY,SHRO_PT,Q,2003-Q3,5.65159497024458
G001,AFXRA,CI_JPY,SHRO_PT,Q,2003-Q4,6.13064355843143
G001,AFXRA,CI_JPY,SHRO_PT,Q,2004-Q1,6.36656899968995
G001,AFXRA,CI_JPY,SHRO_PT,Q,2004-Q2,6.08232728818627
G001,AFXRA,CI_JPY,SHRO_PT,Q,2004-Q3,5.80018541199292
G001,AFXRA,CI_JPY,SHRO_PT,Q,2004-Q4,5.65184909403001
G001,AFXRA,CI_JPY,SHRO_PT,Q,2005-Q1,4.83569328547569
G001,AFXRA,CI_JPY,SHRO_PT,Q,2005-Q2,4.7247221948449
G001,AFXRA,CI_JPY,SHRO_PT,Q,2005-Q3,4.59516497809283
G001,AFXRA,CI_JPY,SHRO_PT,Q,2005-Q4,4.79884677395107
G001,AFXRA,CI_JPY,SHRO_PT,Q,2006-Q1,4.35886195026249
G001,AFXRA,CI_JPY,SHRO_PT,Q,2006-Q2,4.43483140769063
G001,AFXRA,CI_JPY,SHRO_PT,Q,2006-Q3,4.34554362550244
G001,AFXRA,CI_JPY,SHRO_PT,Q,2006-Q4,4.50033257124684
G001,AFXRA,CI_JPY,SHRO_PT,Q,2007-Q1,3.86853698275938
G001,AFXRA,CI_JPY,SHRO_PT,Q,2007-Q2,3.99956592387661
G001,AFXRA,CI_JPY,SHRO_PT,Q,2007-Q3,3.83686104634003
G001,AFXRA,CI_JPY,SHRO_PT,Q,2007-Q4,4.17151675232578
G001,AFXRA,CI_JPY,SHRO_PT,Q,2008-Q1,4.28427882529844
G001,AFXRA,CI_JPY,SHRO_PT,Q,2008-Q2,4.40652386868937
G001,AFXRA,CI_JPY,SHRO_PT,Q,2008-Q3,4.37111734580125
G001,AFXRA,CI_JPY,SHRO_PT,Q,2008-Q4,4.2603436497638
G001,AFXRA,CI_JPY,SHRO_PT,Q,2009-Q1,3.63186909830574
G001,AFXRA,CI_JPY,SHRO_PT,Q,2009-Q2,3.47780400655747
G001,AFXRA,CI_JPY,SHRO_PT,Q,2009-Q3,3.50549753537876
G001,AFXRA,CI_JPY,SHRO_PT,Q,2009-Q4,3.3482540381186
G001,AFXRA,CI_JPY,SHRO_PT,Q,2010-Q1,3.6123632233472
G001,AFXRA,CI_JPY,SHRO_PT,Q,2010-Q2,3.80844847550858
G001,AFXRA,CI_JPY,SHRO_PT,Q,2010-Q3,3.99415971745891
G001,AFXRA,CI_JPY,SHRO_PT,Q,2010-Q4,4.08750178984974
G001,AFXRA,CI_JPY,SHRO_PT,Q,2011-Q1,4.08283232191651
G001,AFXRA,CI_JPY,SHRO_PT,Q,2011-Q2,4.10965660053902
G001,AFXRA,CI_JPY,SHRO_PT,Q,2011-Q3,4.11907914214665
G001,AFXRA,CI_JPY,SHRO_PT,Q,2011-Q4,4.09394807887633
G001,AFXRA,CI_JPY,SHRO_PT,Q,2012-Q1,4.25545715942588
G001,AFXRA,CI_JPY,SHRO_PT,Q,2012-Q2,4.19358968527898
G001,AFXRA,CI_JPY,SHRO_PT,Q,2012-Q3,4.48085868669063
G001,AFXRA,CI_JPY,SHRO_PT,Q,2012-Q4,4.31272471686822
G001,AFXRA,CI_JPY,SHRO_PT,Q,2013-Q1,4.22714974765712
G001,AFXRA,CI_JPY,SHRO_PT,Q,2013-Q2,4.28875455617321
G001,AFXRA,CI_JPY,SHRO_PT,Q,2013-Q3,4.27258654391009
